CustomerID  CustomerName                                       AccountID   Balance
62          Amanda Nelson                                      392         5350.00
63          Edward Perez                                       393         3900.00
63          Edward Perez                                       63          2700.00
64          Melissa Mitchell                                   64          5300.00
64          Melissa Mitchell                                   394         6450.00
65          George Carter                                      395         4950.00
65          George Carter                                      65          3800.00
66          Deborah Roberts                                    66          4500.00
66          Deborah Roberts                                    396         5650.00
67          Ronald Turner                                      397         4100.00
67          Ronald Turner                                      67          3050.00
68          Stephanie Phillips                                 68          4850.00
68          Stephanie Phillips                                 398         5950.00
69          Timothy Campbell                                   399         4450.00
69          Timothy Campbell                                   69          3400.00
70          Rebecca Parker                                     70          5050.00
70          Rebecca Parker                                     400         6100.00
71          Jason Evans                                        401         4250.00
71          Jason Evans                                        71          3150.00
72          Laura Edwards                                      72          4300.00
72          Laura Edwards                                      402         5400.00
73          Jeffrey Collins                                    403         3950.00
73          Jeffrey Collins                                    73          2900.00
74          Sharon Stewart                                     74          5400.00
74          Sharon Stewart                                     404         6500.00
75          Ryan Sanchez                                       405         4800.00
75          Ryan Sanchez                                       75          3750.00
76          Cynthia Morris                                     76          4600.00
76          Cynthia Morris                                     406         5650.00
77          Jacob Rogers                                       407         4200.00
77          Jacob Rogers                                       77          3150.00
78          Kathleen Reed                                      78          5100.00
78          Kathleen Reed                                      408         6200.00
79          Gary Cook                                          409         4600.00
79          Gary Cook                                          79          3550.00
80          Amy Morgan                                         80          5250.00
80          Amy Morgan                                         410         6350.00
81          Nicholas Bell                                      411         4400.00
81          Nicholas Bell                                      81          3300.00
82          Shirley Murphy                                     82          4400.00
82          Shirley Murphy                                     412         5500.00
83          Eric Bailey                                        413         3900.00
83          Eric Bailey                                        83          2800.00
84          Angela Rivera                                      84          5500.00
84          Angela Rivera                                      414         6600.00
85          Jonathan Cooper                                    415         5100.00
85          Jonathan Cooper                                    85          4000.00
86          Anna Richardson                                    86          4700.00
86          Anna Richardson                                    416         5800.00
87          Stephen Cox                                        417         4300.00
87          Stephen Cox                                        87          3250.00
88          Ruth Howard                                        88          5150.00
88          Ruth Howard                                        418         6250.00
89          Larry Ward                                         419         4700.00
89          Larry Ward                                         89          3600.00
90          Brenda Torres                                      90          5300.00
90          Brenda Torres                                      420         6400.00
91          Justin Peterson                                    421         4350.00
91          Justin Peterson                                    91          3200.00
92          Nicole Gray                                        92          4300.00
92          Nicole Gray                                        422         5450.00
93          Scott Ramirez                                      423         4000.00
93          Scott Ramirez                                      93          2850.00
94          Virginia James                                     94          5400.00
94          Virginia James                                     424         6550.00
95          Brandon Watson                                     425         5050.00
95          Brandon Watson                                     95          3900.00
96          Katherine Brooks                                   96          4600.00
96          Katherine Brooks                                   426         5750.00
97          Benjamin Kelly                                     427         4200.00
97          Benjamin Kelly                                     97          3100.00
98          Pamela Sanders                                     98          4950.00
98          Pamela Sanders                                     428         6050.00
99          Samuel Price                                       429         4550.00
99          Samuel Price                                       99          3450.00
100         Catherine Bennett                                  100         5100.00
100         Catherine Bennett                                  430         6200.00
101         Gregory Wood                                       431         4350.00
101         Gregory Wood                                       101         3250.00
102         Christine Barnes                                   102         4400.00
102         Christine Barnes                                   432         5500.00
103         Frank Ross                                         433         4050.00
103         Frank Ross                                         103         2950.00
104         Debra Henderson                                    104         5500.00
104         Debra Henderson                                    434         6600.00
105         Raymond Coleman                                    435         4900.00
105         Raymond Coleman                                    105         3800.00
106         Janet Jenkins                                      106         4650.00
106         Janet Jenkins                                      436         5750.00
107         Patrick Perry                                      437         4300.00
107         Patrick Perry                                      107         3150.00
108         Carolyn Powell                                     108         5200.00
108         Carolyn Powell                                     438         6300.00
109         Jack Long                                          439         4700.00
109         Jack Long                                          109         3600.00
110         Heather Patterson                                  110         5350.00
110         Heather Patterson                                  440         6450.00
111         Dennis Hughes                                      441         4500.00
111         Dennis Hughes                                      111         3400.00
112         Diane Flores                                       112         4500.00
112         Diane Flores                                       442         5600.00
113         Jerry Washington                                   443         4000.00
113         Jerry Washington                                   113         2900.00
114         Julie Butler                                       114         5600.00
114         Julie Butler                                       444         6700.00
115         Tyler Simmons                                      445         5200.00
115         Tyler Simmons                                      115         4100.00
116         Joyce Foster                                       116         4800.00
116         Joyce Foster                                       446         5900.00
117         Aaron Gonzales                                     447         4400.00
117         Aaron Gonzales                                     117         3300.00
118         Evelyn Bryant                                      118         5250.00
118         Evelyn Bryant                                      448         6350.00
119         Henry Alexander                                    449         4800.00
119         Henry Alexander                                    119         3700.00
120         Joan Russell                                       120         5400.00
121         Douglas Griffin                                    121         3350.00
122         Kelly Diaz                                         122         4450.00
123         Peter Hayes                                        123         3000.00
124         Christina Myers                                    124         5550.00
125         Walter Ford                                        125         4050.00
126         Lauren Hamilton                                    126         4750.00
127         Kyle Graham                                        127         3200.00
128         Martha Sullivan                                    128         5050.00
129         Harold Wallace                                     129         3550.00
130         Judith Woods                                       130         5200.00
131         Carl Cole                                          131         3350.00
132         Cheryl West                                        132         4500.00
133         Arthur Jordan                                      133         3050.00
134         Megan Owens                                        134         5600.00
135         Roger Reynolds                                     135         3900.00
136         Andrea Fisher                                      136         4750.00
137         Lawrence Ellis                                     137         3300.00
138         Alice Harrison                                     138         5300.00
139         Terry Gibson                                       139         3700.00
140         Doris Mcdonald                                     140         5450.00
141         Albert Cruz                                        141         3500.00
142         Gloria Marshall                                    142         4600.00
143         Joe Ortiz                                          143         3000.00
144         Ann Gomez                                          144         5700.00
145         Christian Murray                                   145         4200.00
146         Jean Freeman                                       146         4900.00
147         Austin Wells                                       147         3400.00
148         Victoria Webb                                      148         5350.00
149         Willie Simpson                                     149         3800.00
150         Kathryn Stevens                                    150         5500.00
151         Jesse Tucker                                       151         3450.00
152         Julia Porter                                       152         4550.00
153         Billy Hunter                                       153         3100.00
154         Teresa Hicks                                       154         5650.00
155         Bryan Crawford                                     155         4150.00
156         Sara Henry                                         156         4850.00
157         Ralph Boyd                                         157         3300.00
158         Janice Mason                                       158         5150.00
159         Roy Morales                                        159         3650.00
160         Theresa Kennedy                                    160         5300.00
161         Eugene Warren                                      161         3450.00
162         Rose Dixon                                         162         4600.00
163         Louis Ramos                                        163         3150.00
164         Beverly Reyes                                      164         5700.00
165         Wayne Burns                                        165         4000.00
166         Denise Gordon                                      166         4850.00
167         Alan Shaw                                          167         3400.00
168         Marilyn Holmes                                     168         5400.00
169         Harry Rice                                         169         3800.00
170         Amber Robertson                                    170         5550.00
171         Russell Hunt                                       171         3600.00
172         Danielle Black                                     172         4700.00
173         Juan Daniels                                       173         3100.00
174         Madison Palmer                                     174         5800.00
175         Philip Mills                                       175         4300.00
176         Diana Nichols                                      176         5000.00
177         Randy Grant                                        177         3500.00
178         Brittany Knight                                    178         5450.00
179         Howard Ferguson                                    179         3900.00
180         Abigail Rose                                       180         5600.00
181         Vincent Stone                                      181         3550.00
182         Natalie Hawkins                                    182         4650.00
183         Bobby Ferrand                                      183         3200.00
184         Grace Jenkins                                      184         5750.00
185         Johnny Perry                                       185         4250.00
186         Sophia Powell                                      186         4950.00
187         Philip Long                                        187         3400.00
188         Evelyn Patterson                                   188         5250.00
189         Logan Hughes                                       189         3750.00
190         Olivia Flores                                      190         5400.00
191         Mason Washington                                   191         3550.00
192         Isabella Butler                                    192         4700.00
193         Ethan Simmons                                      193         3250.00
194         Mia Foster                                         194         5800.00
195         Lucas Gonzales                                     195         4100.00
196         Charlotte Bryant                                   196         4950.00
197         Jackson Alexander                                  197         3500.00
198         Amelia Russell                                     198         5500.00
199         Jack Woods                                         199         3900.00
200         Lily Sullivan                                      200         5650.00
201         Oliver Gray                                        201         3700.00
202         Emma Price                                         202         4800.00
203         Aiden Ross                                         203         3200.00
204         Ava Coleman                                        204         5900.00
205         Liam Powell                                        205         4400.00
206         Sophia Flores                                      206         5100.00
207         Noah Butler                                        207         3600.00
208         Isla Foster                                        208         5550.00
209         Lucas Alexander                                    209         4000.00
210         Mia Bryant                                         210         5700.00
211         Ethan Russell                                      211         3650.00
212         Charlotte Hayes                                    212         4750.00
213         Amelia Myers                                       213         3300.00
214         Harper Ford                                        214         5850.00
215         Evelyn Graham                                      215         4350.00
216         Abigail West                                       216         5050.00
217         Emily Jordan                                       217         3500.00
218         Elizabeth Owens                                    218         5350.00
219         Sofia Reynolds                                     219         3850.00
220         Avery Fisher                                       220         5500.00
221         Ella Ellis                                         221         3650.00
222         Scarlett Harrison                                  222         4800.00
223         Victoria Gibson                                    223         3350.00
224         Madison Mcdonald                                   224         5900.00
225         Luna Cruz                                          225         4200.00
226         Grace Marshall                                     226         5050.00
227         Chloe Ortiz                                        227         3600.00
228         Penelope Gomez                                     228         5600.00
229         Layla Murray                                       229         4000.00
230         Riley Freeman                                      230         5750.00
231         Zoey Wells                                         231         3800.00
232         Nora Webb                                          232         4900.00
233         Lily Simpson                                       233         3300.00
234         Eleanor Stevens                                    234         6000.00
235         Hannah Tucker                                      235         4500.00
236         Lillian Porter                                     236         5200.00
237         Addison Hunter                                     237         3700.00
238         Aubrey Hicks                                       238         5650.00
239         Ellie Crawford                                     239         4100.00
240         Stella Henry                                       240         5800.00
241         Natalie Boyd                                       241         3750.00
242         Zoe Mason                                          242         4850.00
243         Leah Morales                                       243         3400.00
244         Hazel Kennedy                                      244         5950.00
245         Violet Warren                                      245         4450.00
246         Aurora Dixon                                       246         5150.00
247         Savannah Ramos                                     247         3600.00
248         Audrey Reyes                                       248         5450.00
249         Brooklyn Burns                                     249         3950.00
250         Bella Gordon                                       250         5600.00
251         Claire Shaw                                        251         3750.00
252         Skylar Holmes                                      252         4900.00
253         Lucy Rice                                          253         3450.00
254         Paisley Robertson                                  254         6000.00
255         Everly Hunt                                        255         4300.00
256         Anna Black                                         256         5150.00
257         Caroline Daniels                                   257         3700.00
258         Nova Palmer                                        258         5700.00
259         Genesis Mills                                      259         4100.00
260         Emilia Nichols                                     260         5850.00
261         Kennedy Grant                                      261         3900.00
262         Samantha Knight                                    262         5000.00
263         Maya Ferguson                                      263         3400.00
264         Willow Rose                                        264         6100.00
265         Kinsley Stone                                      265         4600.00
266         Naomi Hawkins                                      266         5300.00
267         Aaliyah Ferrand                                    267         3800.00
268         Elena Jenkins                                      268         5750.00
269         Sarah Perry                                        269         4200.00
270         Ariana Powell                                      270         5900.00
271         Allison Long                                       271         3850.00
272         Gabriella Patterson                                272         4950.00
273         Alice Hughes                                       273         3500.00
274         Madelyn Flores                                     274         6050.00
275         Cora Washington                                    275         4550.00
276         Ruby Butler                                        276         5250.00
277         Eva Simmons                                        277         3700.00
278         Serenity Foster                                    278         5550.00
279         Autumn Gonzales                                    279         4050.00
280         Adeline Bryant                                     280         5700.00
281         Hailey Alexander                                   281         3850.00
282         Gianna Russell                                     282         5000.00
283         Valentina Griffin                                  283         3550.00
284         Isla Diaz                                          284         6100.00
285         Eliana Hayes                                       285         4400.00
286         Quinn Myers                                        286         5250.00
287         Nevaeh Ford                                        287         3800.00
288         Ivy Graham                                         288         5800.00
289         Sadie Sullivan                                     289         4200.00
290         Piper Wallace                                      290         5950.00
291         Lydia Woods                                        291         4000.00
292         Alexa Cole                                         292         5100.00
293         Josephine West                                     293         3500.00
294         Emery Jordan                                       294         6200.00
295         Julia Owens                                        295         4700.00
296         Delilah Reynolds                                   296         5400.00
297         Arianna Fisher                                     297         3900.00
298         Vivian Ellis                                       298         5850.00
299         Kaylee Harrison                                    299         4300.00
300         Sophie Gibson                                      300         6000.00
301         Brielle Mcdonald                                   301         3950.00
302         Madeline Cruz                                      302         5050.00
303         Peyton Marshall                                    303         3600.00
304         Rylee Ortiz                                        304         6150.00
305         Clara Gomez                                        305         4650.00
306         Hadley Murray                                      306         5350.00
307         Melanie Freeman                                    307         3800.00
308         Mackenzie Wells                                    308         5650.00
309         Reagan Webb                                        309         4150.00
310         Adalynn Simpson                                    310         5800.00
311         Liliana Stevens                                    311         3950.00
312         Aubree Tucker                                      312         5100.00
313         Jade Porter                                        313         3650.00
314         Katherine Hunter                                   314         6200.00
315         Isabelle Hicks                                     315         4500.00
316         Natalia Crawford                                   316         5350.00
317         Raelynn Henry                                      317         3900.00
318         Maria Boyd                                         318         5900.00
319         Athena Mason                                       319         4300.00
320         Ximena Morales                                     320         6050.00
321         Arya Kennedy                                       321         4100.00
322         Leilani Warren                                     322         5200.00
323         Paige Dixon                                        323         3600.00
324         Lyla Ramos                                         324         6300.00
325         Giana Reyes                                        325         4800.00
326         Rose Burns                                         326         5500.00
327         Alina Gordon                                       327         4000.00
328         Isabel Shaw                                        328         5950.00
329         Adaline Holmes                                     329         4400.00
330         Nicole Rice                                        330         6100.00
331         Faith Robertson                                    331         4050.00
332         Eloise Hunt                                        332         5150.00
333         Adalyn Black                                       333         3700.00
520         Yisroel Sullivan                                   520         6500.00

(450 rows affected)


Completion time: 2026-04-20T11:45:20.1160161+07:00
