EmployeeID  EmployeeName                                                                                         Position                                           BranchID
120         Evelyn Bryant                                                                                        Staff                                              20
121         Henry Alexander                                                                                      Staff                                              1
122         Joan Russell                                                                                         Teller                                             2
123         Douglas Griffin                                                                                      Staff                                              3
124         Kelly Diaz                                                                                           Staff                                              4
125         Peter Hayes                                                                                          Teller                                             5
126         Christina Myers                                                                                      Manager                                            6
127         Walter Ford                                                                                          Staff                                              7
128         Lauren Hamilton                                                                                      Staff                                              8
129         Kyle Graham                                                                                          Teller                                             9
130         Martha Sullivan                                                                                      Staff                                              10
131         Harold Wallace                                                                                       Staff                                              11
132         Judith Woods                                                                                         Teller                                             12
133         Carl Cole                                                                                            Manager                                            13
134         Cheryl West                                                                                          Staff                                              14
135         Arthur Jordan                                                                                        Staff                                              15
136         Megan Owens                                                                                          Teller                                             16
137         Roger Reynolds                                                                                       Staff                                              17
138         Andrea Fisher                                                                                        Staff                                              18
139         Lawrence Ellis                                                                                       Teller                                             19
140         Alice Harrison                                                                                       Manager                                            20
141         Terry Gibson                                                                                         Staff                                              1
142         Doris Mcdonald                                                                                       Staff                                              2
143         Albert Cruz                                                                                          Teller                                             3
144         Gloria Marshall                                                                                      Staff                                              4
145         Joe Ortiz                                                                                            Staff                                              5
146         Ann Gomez                                                                                            Teller                                             6
147         Christian Murray                                                                                     Manager                                            7
148         Jean Freeman                                                                                         Staff                                              8
149         Austin Wells                                                                                         Staff                                              9
150         Victoria Webb                                                                                        Teller                                             10
151         Willie Simpson                                                                                       Staff                                              11
152         Kathryn Stevens                                                                                      Staff                                              12
153         Jesse Tucker                                                                                         Teller                                             13
154         Julia Porter                                                                                         Manager                                            14
155         Billy Hunter                                                                                         Staff                                              15
156         Teresa Hicks                                                                                         Staff                                              16
157         Bryan Crawford                                                                                       Teller                                             17
158         Sara Henry                                                                                           Staff                                              18
159         Ralph Boyd                                                                                           Staff                                              19
160         Janice Mason                                                                                         Teller                                             20
161         Roy Morales                                                                                          Manager                                            1
162         Theresa Kennedy                                                                                      Staff                                              2
163         Eugene Warren                                                                                        Staff                                              3
164         Rose Dixon                                                                                           Teller                                             4
165         Louis Ramos                                                                                          Staff                                              5
166         Beverly Reyes                                                                                        Staff                                              6
167         Wayne Burns                                                                                          Teller                                             7
168         Denise Gordon                                                                                        Manager                                            8
169         Alan Shaw                                                                                            Staff                                              9
170         Marilyn Holmes                                                                                       Staff                                              10
171         Harry Rice                                                                                           Teller                                             11
172         Amber Robertson                                                                                      Staff                                              12
173         Russell Hunt                                                                                         Staff                                              13
174         Danielle Black                                                                                       Teller                                             14
175         Juan Daniels                                                                                         Manager                                            15
176         Madison Palmer                                                                                       Staff                                              16
177         Philip Mills                                                                                         Staff                                              17
178         Diana Nichols                                                                                        Teller                                             18
179         Randy Grant                                                                                          Staff                                              19
180         Brittany Knight                                                                                      Staff                                              20
181         Howard Ferguson                                                                                      Teller                                             1
182         Abigail Rose                                                                                         Manager                                            2
183         Vincent Stone                                                                                        Staff                                              3
184         Natalie Hawkins                                                                                      Staff                                              4
185         Bobby Ferrand                                                                                        Teller                                             5
186         Grace Jenkins                                                                                        Staff                                              6
187         Johnny Perry                                                                                         Staff                                              7
188         Sophia Powell                                                                                        Teller                                             8
189         Philip Long                                                                                          Manager                                            9
190         Evelyn Patterson                                                                                     Staff                                              10
191         Logan Hughes                                                                                         Staff                                              11
192         Olivia Flores                                                                                        Teller                                             12
193         Mason Washington                                                                                     Staff                                              13
194         Isabella Butler                                                                                      Staff                                              14
195         Ethan Simmons                                                                                        Teller                                             15
196         Mia Foster                                                                                           Manager                                            16
197         Lucas Gonzales                                                                                       Staff                                              17
198         Charlotte Bryant                                                                                     Staff                                              18
199         Jackson Alexander                                                                                    Teller                                             19
200         Amelia Russell                                                                                       Staff                                              20

(200 rows affected)


Completion time: 2026-04-20T11:42:14.8606507+07:00
